"","gene1","gene2","pValue","oddsRatio","00","01","11","10","pAdj","Event","pair","event_ratio"
"93","NAV3","XIRP2",1.62396674977268e-07,3.28831144624241,360,84,50,65,4.81032805027452e-07,"Co_Occurence","NAV3, XIRP2","50/149"
"94","LRP1B","NAV3",2.01487758479481e-07,3.08056265663489,322,53,62,122,5.91219948590027e-07,"Co_Occurence","LRP1B, NAV3","62/175"
"95","CSMD3","FAT3",2.20206256173546e-07,3.133316296107,305,42,64,148,6.40134465620778e-07,"Co_Occurence","CSMD3, FAT3","64/190"
"96","LRP1B","ZNF536",2.22689020961305e-07,3.13792390554665,325,50,60,124,6.41385429036018e-07,"Co_Occurence","LRP1B, ZNF536","60/174"
"97","PCLO","MUC16",2.35827527552257e-07,3.15724833472052,296,160,65,38,6.73023765845487e-07,"Co_Occurence","MUC16, PCLO","65/198"
"98","FLG","ZNF536",2.45030282855171e-07,3.33026208341631,367,63,47,82,6.92958944726172e-07,"Co_Occurence","FLG, ZNF536","47/145"
"99","CSMD1","USH2A",2.78973988516338e-07,3.23267316527443,344,115,52,48,7.81877770505432e-07,"Co_Occurence","CSMD1, USH2A","52/163"
"100","NAV3","SPTA1",2.84845445273289e-07,3.2858424551266,367,77,47,68,7.91237347981361e-07,"Co_Occurence","NAV3, SPTA1","47/145"
"101","APOB","FLG",3.21579101745454e-07,3.44777304780619,374,85,44,56,8.85405015818985e-07,"Co_Occurence","APOB, FLG","44/141"
"102","SPTA1","XIRP2",3.73895529775006e-07,3.10166703654427,353,82,52,72,1.02045723191869e-06,"Co_Occurence","SPTA1, XIRP2","52/154"
"103","MUC17","PCLO",3.94004359388561e-07,3.68894796186274,396,66,37,60,1.0660291108998e-06,"Co_Occurence","MUC17, PCLO","37/126"
"104","ZFHX4","TP53",4.03271384212295e-07,2.59972775567127,223,164,113,59,1.08173654563384e-06,"Co_Occurence","TP53, ZFHX4","113/223"
"105","FLG","MUC16",4.24803438144738e-07,2.81590537055041,282,148,77,52,1.12979637804452e-06,"Co_Occurence","FLG, MUC16","77/200"
"106","ZFHX4","PCLO",4.35387899796597e-07,3.14927098812209,338,49,54,118,1.14817484123575e-06,"Co_Occurence","PCLO, ZFHX4","54/167"
"107","COL11A1","XIRP2",5.14323390692725e-07,3.18488412899173,360,85,49,65,1.34498794637219e-06,"Co_Occurence","COL11A1, XIRP2","49/150"
"108","ANK2","MUC16",5.20861824139287e-07,3.04448095878534,294,159,66,40,1.35078273895044e-06,"Co_Occurence","ANK2, MUC16","66/199"
"109","LRP1B","APOB",5.4537442615552e-07,3.11946305839173,330,45,55,129,1.40271200142881e-06,"Co_Occurence","APOB, LRP1B","55/174"
"110","APOB","ZNF536",5.80819813917856e-07,3.4840904673848,388,71,39,61,1.46968576396219e-06,"Co_Occurence","APOB, ZNF536","39/132"
"111","PCDH15","ZNF536",5.80819813917856e-07,3.4840904673848,388,71,39,61,1.46968576396219e-06,"Co_Occurence","PCDH15, ZNF536","39/132"
"112","PCLO","RYR2",6.43390331254117e-07,3.05130384156276,317,139,59,44,1.61493557041697e-06,"Co_Occurence","PCLO, RYR2","59/183"
"113","SPTA1","PCLO",6.56734563887003e-07,3.30922978490095,375,60,43,81,1.63529522880231e-06,"Co_Occurence","PCLO, SPTA1","43/141"
"114","XIRP2","PCLO",8.0393267420245e-07,3.19137504525608,367,58,45,89,1.98599968923532e-06,"Co_Occurence","PCLO, XIRP2","45/147"
"115","RYR2","FAT3",8.80825528373942e-07,2.97094137543686,315,46,60,138,2.15888609895574e-06,"Co_Occurence","FAT3, RYR2","60/184"
"116","PCDH15","NAV3",9.03667087220288e-07,3.40403683746573,384,75,40,60,2.18792574455337e-06,"Co_Occurence","NAV3, PCDH15","40/135"
"117","NAV3","CSMD3",9.06676428542915e-07,2.87244398111682,299,145,67,48,2.18792574455337e-06,"Co_Occurence","CSMD3, NAV3","67/193"
"118","XIRP2","ANK2",9.3479883387822e-07,3.17207012392387,365,60,46,88,2.2214801185319e-06,"Co_Occurence","ANK2, XIRP2","46/148"
"119","XIRP2","FAT3",9.3479883387822e-07,3.17207012392387,365,60,46,88,2.2214801185319e-06,"Co_Occurence","FAT3, XIRP2","46/148"
"120","TTN","MUC17",1.02762625934608e-06,3.05984656809967,283,33,64,179,2.41528746987793e-06,"Co_Occurence","MUC17, TTN","64/212"
"121","FLG","MUC17",1.03181080713185e-06,3.28301727465032,375,55,42,87,2.41528746987793e-06,"Co_Occurence","FLG, MUC17","42/142"
"122","PCDH15","APOB",1.14585804645355e-06,3.461908802411,395,64,36,64,2.66230958748501e-06,"Co_Occurence","APOB, PCDH15","36/128"
"123","TNR","APOB",1.15854708065862e-06,3.57033256044786,399,65,35,60,2.67192592402818e-06,"Co_Occurence","APOB, TNR","35/125"
"124","PCDH15","CSMD3",1.25084022787555e-06,3.02335383172459,307,152,60,40,2.86364521033782e-06,"Co_Occurence","CSMD3, PCDH15","60/192"
"125","PCLO","COL11A1",1.31252866888274e-06,3.26900393193663,382,74,40,63,2.98301970200623e-06,"Co_Occurence","COL11A1, PCLO","40/137"
"126","ZNF536","XIRP2",1.36338443416427e-06,3.09680068248847,362,87,47,63,3.07622841643563e-06,"Co_Occurence","XIRP2, ZNF536","47/150"
"127","ZNF536","TNR",1.50658204930172e-06,3.40744749403796,391,58,37,73,3.37495978786229e-06,"Co_Occurence","TNR, ZNF536","37/131"
"128","PCDH15","RYR2",1.57077117294631e-06,2.98316047075947,318,141,57,43,3.49370812488058e-06,"Co_Occurence","PCDH15, RYR2","57/184"
"129","LRP1B","TP53",1.64997345736814e-06,2.42488270957071,216,159,118,66,3.64393431397556e-06,"Co_Occurence","LRP1B, TP53","118/225"
"130","MUC16","FAT3",1.66572147774658e-06,2.8973394863796,293,41,65,160,3.65289797751446e-06,"Co_Occurence","FAT3, MUC16","65/201"
"131","SPTA1","FAT3",1.83217076993861e-06,3.12691182394492,372,63,43,81,3.98991892408235e-06,"Co_Occurence","FAT3, SPTA1","43/144"
"132","ZNF536","CSMD3",1.86402057157169e-06,2.82395366829592,301,148,64,46,4.03118635720524e-06,"Co_Occurence","CSMD3, ZNF536","64/194"
"133","TNR","LRP1B",2.0071034743753e-06,3.03464276645791,332,132,52,43,4.31078924908787e-06,"Co_Occurence","LRP1B, TNR","52/175"
"134","NAV3","MUC16",2.10590558546952e-06,2.76389040995916,288,156,69,46,4.49211942292992e-06,"Co_Occurence","MUC16, NAV3","69/202"
"135","FAT3","FLG",2.5483654286652e-06,3.06515327634466,368,85,44,62,5.3990792980195e-06,"Co_Occurence","FAT3, FLG","44/147"
"136","LRP1B","SPTA1",2.7360091367678e-06,2.67471646365487,314,61,63,121,5.75759498478078e-06,"Co_Occurence","LRP1B, SPTA1","63/182"
"137","MUC17","ANK2",2.93169324307278e-06,3.29608348808136,392,70,36,61,6.1281213274933e-06,"Co_Occurence","ANK2, MUC17","36/131"
"138","USH2A","TP53",3.47560146883691e-06,2.41153649445768,223,169,108,59,7.21678045854841e-06,"Co_Occurence","TP53, USH2A","108/228"
"139","ANK2","ZFHX4",4.08055051974656e-06,2.80085542699065,334,119,53,53,8.41697714469176e-06,"Co_Occurence","ANK2, ZFHX4","53/172"
"140","TNR","TTN",4.16500523308604e-06,2.93171442378848,283,181,62,33,8.53484678911074e-06,"Co_Occurence","TNR, TTN","62/214"
"141","NAV3","ANK2",4.22429492548126e-06,3.04715862736575,378,66,40,75,8.55618853847436e-06,"Co_Occurence","ANK2, NAV3","40/141"
"142","PCLO","USH2A",4.25319601981103e-06,2.86863624734689,340,116,51,52,8.55618853847436e-06,"Co_Occurence","PCLO, USH2A","51/168"
"143","ZFHX4","COL11A1",4.25755941674483e-06,2.73288028896855,329,58,56,116,8.55618853847436e-06,"Co_Occurence","COL11A1, ZFHX4","56/174"
"144","FAT3","ZNF536",4.58150703350285e-06,3.12398947951437,382,71,39,67,9.14837666434274e-06,"Co_Occurence","FAT3, ZNF536","39/138"
"145","TNR","SPTA1",4.951518001452e-06,3.09762167643566,379,85,39,56,9.82444047907143e-06,"Co_Occurence","SPTA1, TNR","39/141"
"146","FLG","RYR2",5.28961770219888e-06,2.56780665899777,300,130,68,61,1.04290569838306e-05,"Co_Occurence","FLG, RYR2","68/191"
"147","PCLO","FAT3",5.32405781201727e-06,3.13633215281901,387,69,37,66,1.04311477508175e-05,"Co_Occurence","FAT3, PCLO","37/135"
"148","MUC17","CSMD3",5.625865296732e-06,2.81680035353595,307,155,57,40,1.09537875715187e-05,"Co_Occurence","CSMD3, MUC17","57/195"
"149","PCLO","NAV3",5.8088224080827e-06,3.03950701126415,380,76,39,64,1.12399814397886e-05,"Co_Occurence","NAV3, PCLO","39/140"
"150","ANK2","FLG",5.89831930201825e-06,2.90590215297542,367,86,43,63,1.13429217346505e-05,"Co_Occurence","ANK2, FLG","43/149"
"151","PCLO","TP53",6.12862051584946e-06,2.8384801510911,251,205,72,31,1.1713724227541e-05,"Co_Occurence","PCLO, TP53","72/236"
"152","TTN","CSMD1",6.82958900575502e-06,2.77563134870704,280,36,64,179,1.29741432480149e-05,"Co_Occurence","CSMD1, TTN","64/215"
"153","ADAMTS12","APOB",7.11014885987316e-06,3.22955983557844,396,66,34,63,1.33448739862484e-05,"Co_Occurence","ADAMTS12, APOB","34/129"
