"","gene1","gene2","pValue","oddsRatio","00","01","11","10","pAdj","Event","pair","event_ratio"
"147","MUC17","CTNND2",0.00332270642680618,4.93944475417414,257,19,7,19,0.0065100047547143,"Co_Occurence","CTNND2, MUC17","7/38"
"148","CSMD3","CSMD1",0.0036213546374078,4.39364152775934,249,15,8,30,0.00705092413825509,"Co_Occurence","CSMD1, CSMD3","8/45"
"149","XIRP2","PRDM9",0.0037440742068971,4.82809114962878,256,16,7,23,0.00710864006641709,"Co_Occurence","PRDM9, XIRP2","7/39"
"150","XIRP2","ZNF536",0.0037440742068971,4.82809114962878,256,16,7,23,0.00710864006641709,"Co_Occurence","XIRP2, ZNF536","7/39"
"151","RYR2","PRDM9",0.00376473577917448,4.05025030359831,241,14,9,38,0.00710864006641709,"Co_Occurence","PRDM9, RYR2","9/52"
"152","USH2A","PRDM9",0.00376473577917448,4.05025030359831,241,14,9,38,0.00710864006641709,"Co_Occurence","PRDM9, USH2A","9/52"
"153","USH2A","ZNF536",0.00376473577917448,4.05025030359831,241,14,9,38,0.00710864006641709,"Co_Occurence","USH2A, ZNF536","9/52"
"154","CSMD1","EGFR",0.00394619830438944,0.219180475269428,142,137,4,19,0.00740652834907927,"Mutually_Exclusive","CSMD1, EGFR","4/156"
"155","NEB","AHNAK2",0.00420654417699173,5.40469539362736,262,18,6,16,0.00770962628862267,"Co_Occurence","AHNAK2, NEB","6/34"
"156","KRAS","ZFHX4",0.00422109735381744,3.57714841198603,240,29,10,23,0.00770962628862267,"Co_Occurence","KRAS, ZFHX4","10/52"
"157","ANK2","CTNND2",0.00422348118610789,4.67669699828327,256,19,7,20,0.00770962628862267,"Co_Occurence","ANK2, CTNND2","7/39"
"158","ANK2","MUC17",0.00422348118610789,4.67669699828327,256,19,7,20,0.00770962628862267,"Co_Occurence","ANK2, MUC17","7/39"
"159","ZNF536","CSMD1",0.00425571371131971,5.38604275759648,262,17,6,17,0.00770962628862267,"Co_Occurence","CSMD1, ZNF536","6/34"
"160","PRDM9","MUC4",0.00425571371131971,5.38604275759648,262,17,6,17,0.00770962628862267,"Co_Occurence","MUC4, PRDM9","6/34"
"161","PRDM9","ZFHX4",0.00433386634584908,4.23612152535095,248,31,8,15,0.00776122196606211,"Co_Occurence","PRDM9, ZFHX4","8/46"
"162","ZNF536","ZFHX4",0.00433386634584908,4.23612152535095,248,31,8,15,0.00776122196606211,"Co_Occurence","ZFHX4, ZNF536","8/46"
"163","NEB","TP53",0.00474953688983753,3.61763578660142,189,91,14,8,0.00845715258161953,"Co_Occurence","NEB, TP53","14/99"
"164","CTNND2","TTN",0.00499233598973282,3.42631118463691,221,55,12,14,0.00883912179485273,"Co_Occurence","CTNND2, TTN","12/69"
"165","NEB","SI",0.00526999128067023,5.10345375222567,261,19,6,16,0.00927815366315183,"Co_Occurence","NEB, SI","6/35"
"166","PRDM9","AHNAK2",0.00538661300086354,5.0700742423142,261,18,6,17,0.00943034488946702,"Co_Occurence","AHNAK2, PRDM9","6/35"
"167","PCLO","MUC16",0.00547152986654223,3.44548080054991,237,36,10,19,0.00950560400767263,"Co_Occurence","MUC16, PCLO","10/55"
"168","SI","FLG",0.00549043687483169,3.99706830013157,248,29,8,17,0.00950560400767263,"Co_Occurence","FLG, SI","8/46"
"169","PCLO","ZFHX4",0.00579184569910214,3.6232042707277,243,30,9,20,0.00997218612104365,"Co_Occurence","PCLO, ZFHX4","9/50"
"170","FLG","RYR2",0.00602509524155781,3.13856479288055,230,35,12,25,0.0103169439067771,"Co_Occurence","FLG, RYR2","12/60"
"171","CSMD3","TP53",0.00612168943895483,2.63776905382191,180,84,21,17,0.0104252204341874,"Co_Occurence","CSMD3, TP53","21/101"
"172","RYR2","EGFR",0.00638393325365198,0.380534941317682,127,128,13,34,0.0107579004316444,"Mutually_Exclusive","EGFR, RYR2","13/162"
"173","TTN","KRAS",0.00642031497760538,2.98938331312118,216,19,14,53,0.0107579004316444,"Co_Occurence","KRAS, TTN","14/72"
"174","TTN","LRP1B",0.00642031497760538,2.98938331312118,216,19,14,53,0.0107579004316444,"Co_Occurence","LRP1B, TTN","14/72"
"175","EGFR","NEB",0.0066877826237495,0.232954342035311,143,18,4,137,0.0111463043729159,"Mutually_Exclusive","EGFR, NEB","4/155"
"176","CTNND2","FLG",0.00721617109873115,3.76147793884847,247,29,8,18,0.0119000183026569,"Co_Occurence","CTNND2, FLG","8/47"
"177","MUC17","FLG",0.00721617109873115,3.76147793884847,247,29,8,18,0.0119000183026569,"Co_Occurence","FLG, MUC17","8/47"
