"","gene1","gene2","pValue","oddsRatio","00","01","11","10","pAdj","Event","pair","event_ratio"
"73","FAT1","LRP1B",7.48708332852469e-05,2.9798206158179,1250,214,24,47,0.000273650706451926,"Co_Occurence","FAT1, LRP1B","24/261"
"74","SETD2","TP53",9.87578624694459e-05,0.352935762590105,726,741,18,50,0.000356784185221987,"Mutually_Exclusive","SETD2, TP53","18/791"
"75","PRKDC","FAT3",0.000139871663129069,3.23970405500471,1328,134,18,55,0.000499541654032389,"Co_Occurence","FAT3, PRKDC","18/189"
"76","SPTA1","ATM",0.000146179582088544,3.34636440561992,1337,53,17,128,0.000516170840708137,"Co_Occurence","ATM, SPTA1","17/181"
"77","KEAP1","ATM",0.000176710042828596,4.5145284526257,1407,59,11,58,0.000617004339485324,"Co_Occurence","ATM, KEAP1","11/117"
"78","CDKN2A","FAT4",0.000193213607682732,3.67587219450219,1375,83,14,63,0.000666328762403391,"Co_Occurence","CDKN2A, FAT4","14/146"
"79","LRP2","LRP1B",0.000195101061631713,2.54526684703351,1230,209,29,67,0.000666328762403391,"Co_Occurence","LRP1B, LRP2","29/276"
"80","KEAP1","LRP2",0.000206895883571918,3.86264475493196,1383,83,13,56,0.000691496937071921,"Co_Occurence","KEAP1, LRP2","13/139"
"81","KMT2D","LRP2",0.000206895883571918,3.86264475493196,1383,83,13,56,0.000691496937071921,"Co_Occurence","KMT2D, LRP2","13/139"
"82","SMARCA4","FAM135B",0.00021371570885495,3.45658857990977,1366,74,15,80,0.000706731841451556,"Co_Occurence","FAM135B, SMARCA4","15/154"
"83","KMT2D","FAT3",0.000219891480383089,3.21954540225192,1331,135,17,52,0.000719540184499638,"Co_Occurence","FAT3, KMT2D","17/187"
"84","KMT2D","NF1",0.000229595349954805,4.36069144636211,1405,61,11,58,0.000743508257625664,"Co_Occurence","KMT2D, NF1","11/119"
"85","FAT1","SMARCA4",0.000251139935528386,3.77243326730176,1382,82,13,58,0.00080493569079611,"Co_Occurence","FAT1, SMARCA4","13/140"
"86","NF1","LRP2",0.000323979831379039,3.65801649732762,1380,83,13,59,0.00102785479498426,"Co_Occurence","LRP2, NF1","13/142"
"87","KEAP1","SPTA1",0.000413344437980867,3.12550541091458,1337,129,16,53,0.00129819233034192,"Co_Occurence","KEAP1, SPTA1","16/182"
"88","PRKDC","TP53",0.000432849272401961,2.46741578258977,754,708,51,22,0.00133679451782113,"Co_Occurence","PRKDC, TP53","51/730"
"89","ATM","EGFR",0.000434190859388301,0.407810963446939,598,867,26,44,0.00133679451782113,"Mutually_Exclusive","ATM, EGFR","26/911"
"90","CDKN2A","SMARCA4",0.000580709630834211,3.40417685736357,1376,82,13,64,0.00177045619156772,"Co_Occurence","CDKN2A, SMARCA4","13/146"
"91","EGFR","PRKDC",0.00058640345912386,0.429679311334975,597,45,28,865,0.00177054184518074,"Mutually_Exclusive","EGFR, PRKDC","28/910"
"92","PIK3CA","EGFR",0.000790082569052281,2.22304326777817,618,822,71,24,0.00236268710840993,"Co_Occurence","EGFR, PIK3CA","71/846"
"93","SETD2","KMT2C",0.000803703966872623,3.68033426633198,1394,73,11,57,0.00238063971230043,"Co_Occurence","KMT2C, SETD2","11/130"
"94","FAM135B","LRP2",0.000830852983405154,3.10153237309422,1364,82,14,75,0.00243794889496817,"Co_Occurence","FAM135B, LRP2","14/157"
"95","EGFR","LRP2",0.000868285769968297,0.4909309597532,586,56,40,853,0.00252408654060552,"Mutually_Exclusive","EGFR, LRP2","40/909"
"96","ATM","LRP2",0.000918639576528453,3.39711425038638,1381,84,12,58,0.0026458513148861,"Co_Occurence","ATM, LRP2","12/142"
"97","STK11","SMARCA4",0.000939163862967457,3.05609265252046,1363,81,14,77,0.00265276488124666,"Co_Occurence","SMARCA4, STK11","14/158"
"98","LRP2","KRAS",0.000941207824302331,2.46437776948154,1276,163,23,73,0.00265276488124666,"Co_Occurence","KRAS, LRP2","23/236"
"99","SETD2","EGFR",0.000946506509628807,0.428644726844974,600,867,26,42,0.00265276488124666,"Mutually_Exclusive","EGFR, SETD2","26/909"
"100","STK11","FAT3",0.000970897546003321,2.59895674217532,1311,133,19,72,0.00269693762778701,"Co_Occurence","FAT3, STK11","19/205"
"101","KRAS","KMT2D",0.000985574501716721,2.72443083266928,1298,51,18,168,0.00271358618314076,"Co_Occurence","KMT2D, KRAS","18/219"
"102","EGFR","RBM10",0.00108409523472229,1.75788602610228,589,53,122,771,0.00295877520393639,"Co_Occurence","EGFR, RBM10","122/824"
"103","FAT4","STK11",0.00116339865828514,2.97818707814173,1361,77,14,83,0.00314196200757965,"Co_Occurence","FAT4, STK11","14/160"
"104","FAT1","KMT2C",0.00117132343642569,3.48862222007614,1391,73,11,60,0.00314196200757965,"Co_Occurence","FAT1, KMT2C","11/133"
"105","CDKN2A","EGFR",0.00129355125091312,0.466185448669359,596,862,31,46,0.00344029588008809,"Mutually_Exclusive","CDKN2A, EGFR","31/908"
"106","SPTA1","STK11",0.00148055363138191,2.55485074601764,1317,73,18,127,0.00388581282700825,"Co_Occurence","SPTA1, STK11","18/200"
"107","PRKDC","FAT4",0.00148729623445601,3.18312081727316,1377,85,12,61,0.00388581282700825,"Co_Occurence","FAT4, PRKDC","12/146"
"108","FAM135B","KMT2D",0.00149836942609438,3.37056536905188,1388,58,11,78,0.00388581282700825,"Co_Occurence","FAM135B, KMT2D","11/136"
"109","SMARCA4","FAT4",0.00179732390270269,2.8231285290905,1357,83,14,81,0.00462274666332997,"Co_Occurence","FAT4, SMARCA4","14/164"
"110","FAT1","FAM135B",0.00190911183499318,3.25370190090735,1386,78,11,60,0.00487018325253362,"Co_Occurence","FAM135B, FAT1","11/138"
"111","KMT2C","EGFR",0.00200810944773762,0.493897913784007,593,858,35,49,0.00508124860257495,"Mutually_Exclusive","EGFR, KMT2C","35/907"
"112","STK11","ATM",0.002038409786195,3.2238490062531,1385,59,11,80,0.00511649042719628,"Co_Occurence","ATM, STK11","11/139"
"113","PIK3CA","SETD2",0.00228171766335882,3.17355608125794,1383,57,11,84,0.00568156788684965,"Co_Occurence","PIK3CA, SETD2","11/141"
"114","NF1","CDKN2A",0.00238149073232547,3.35629339846412,1396,67,10,62,0.00588312927946016,"Co_Occurence","CDKN2A, NF1","10/129"
"115","FAM135B","KMT2C",0.00243137839897591,2.97081197239738,1374,72,12,77,0.00595926078180372,"Co_Occurence","FAM135B, KMT2C","12/149"
"116","RB1","PIK3CA",0.00280041184743806,2.91401172425371,1372,83,12,68,0.00681034009590969,"Co_Occurence","PIK3CA, RB1","12/151"
"117","KMT2D","KEAP1",0.00287247867664795,3.51001986902406,1406,60,9,60,0.00693165703824312,"Co_Occurence","KEAP1, KMT2D","9/120"
"118","KMT2C","STK11",0.00295059765380322,2.89150045253522,1372,79,12,72,0.00706560740853261,"Co_Occurence","KMT2C, STK11","12/151"
"119","SMARCA4","TP53",0.00299092832451688,1.90640866452406,742,698,61,34,0.00710771940236902,"Co_Occurence","SMARCA4, TP53","61/732"
"120","KEAP1","FAT4",0.00305187628443078,3.03989946885381,1380,86,11,58,0.00714390516018443,"Co_Occurence","FAT4, KEAP1","11/144"
"121","KMT2D","FAT4",0.00305187628443078,3.03989946885381,1380,86,11,58,0.00714390516018443,"Co_Occurence","FAT4, KMT2D","11/144"
"122","KEAP1","KMT2C",0.00333448992029204,3.18444419625766,1392,74,10,59,0.00774742081852241,"Co_Occurence","KEAP1, KMT2C","10/133"
"123","TP53","NF1",0.00350326087927741,2.11434195561415,752,24,48,711,0.00803649090918806,"Co_Occurence","NF1, TP53","48/735"
"124","KMT2D","FAT1",0.00351033922913335,3.39230978945981,1404,62,9,60,0.00803649090918806,"Co_Occurence","FAT1, KMT2D","9/122"
"125","KMT2C","SMARCA4",0.00426117811507369,2.74413938211829,1368,83,12,72,0.00958267330863713,"Co_Occurence","KMT2C, SMARCA4","12/155"
